id_producto;nombre_producto;id_pasillo;id_departamento
1;GALLETAS DEL EMPAREDADO DEL CHOCOLATE;61;19
2;TODAS ESTACIONES DE SALT;104;13
3;ROBUSTA DE ORO SIN AZÚCAR TÉ OOLONG;94;7
4;SALSA INTELIGENTES ONES FAVORITOS MINI CLÁSICO RIGATONI CON VODKA CREAM;38;1
5;EN CUALQUIER MOMENTO SALSA VERDE CHILE;5;13
6;ACEITE NARIZ SECA;11;11
7;PURA AGUA DE COCO CON NARANJA;98;7
8;CUT RUSSET POTATOES STEAM N' MASH;116;1
9;LUZ FRESA ARÁNDANO YOGUR;120;16
10;ESPUMOSO JUGO DE NARANJA Y PERA CON PÚAS BEBIDAS;115;7
11;JUGO DEL MANGO DEL MELOCOTÓN;31;7
12;TORTA DE CAPA DE DULCE DE AZÚCAR;119;1
13;SOLUCIÓN SALINA NASAL NIEBLA;11;11
14;AROMA FRESCO LIMPIAMÁQUINAS;74;17
15;LOS PAÑALES DURANTE NOCHE TAMAÑO 6;56;18
16;MENTA CON SABOR A CHOCOLATE JARABE;103;19
17;DICTADA FAT DUCK;35;12
18;UNA PIZZA PARA SUPREMA PIZZA CONGELADA;79;1
19;SIN GLUTEN QUINUA TRES QUESOS Y MEZCLA DE SETAS;63;9
20;GRANADA ARÁNDANO Y ALOE VERA ENRICH BEBIDA;98;7
21;PEQUEÑA Y MEDIANA TRATA DE PERRO DENTAL;40;8
22;BREATH FRESH ORAL RINSE MILD MINT;20;11
23;HAMBURGUESAS DE PAVO ORGÁNICOS;49;12
24;TRI-VI-SOL® VITAMINAS A-C-D Y SUPLEMENTO GOTAS PARA LACTANTES;47;11
25;SALADOS CARAMELO PROTEÍNA BAJA EN GRASA Y FIBRA BAR;3;19
26;FANTASÍA FIESTA FIESTA TRUCHA FLAKED WET COMIDA PARA GATOS;41;8
27;COMPLETA SPRING WATER ESPUMA ANTIBACTERIAL LAVADO DE MANOS;127;11
28;CEREAL DE TRIGO CHEX;121;14
29;FRESH CUT DE ORO DULCE SIN SAL AÑADIDA ELOTE;81;15
30;TRES QUESOS ZITI, MARINARA CON ALBÓNDIGAS;38;1
31;WHITE PEARL CEBOLLAS;123;4
32;NACHO QUESO HABA BLANCA DE CHIPS;107;19
33;ESTILO ESPAGUETIS PASTA;131;9
34;CEREAL DE MANTEQUILLA DE MANÍ;121;14
35;HONGOS PORCINI ITALIANOS HIERBA DE POLLO DE SALCHICHAS;106;12
36;TRADICIONAL LASAÑA CON CARNE SALSA ITALIANA RECETAS;38;1
37;CALDO MEZCLA DE FIDEOS CON POLLO SOPA;69;15
38;ULTRA ANTIBACTERIAL LÍQUIDO DEL PLATO;100;21
39;DAILY MANDARINA CITRUS BEBIDA CON SABOR;64;7
40;ENLACES CALIENTE DE CARNE DE CARNE DE SALCHICHA AHUMADA CON CHILE PEPPERS;106;12
41;ORGÁNICA DE MASA FERMENTADA DE EINKORN GALLETAS ROMERO;78;19
42;BIOTINA 1000 MCG;47;11
43;CLEMENTINAS ORGÁNICA;123;4
44;ESPUMOSO FRAMBUESA SELTZER;115;7
45;PEPINO EUROPEA;83;4
46;DE PASAS DE CANELA PANECILLOS 5 DE RECUENTO;58;1
47;SABOR DE CEBOLLA ORGÁNICA ASADA ALGA MARINA BOCADO;66;6
48;ESCUELA DE PEGAMENTO, LAVABLE, N RUN;87;17
49;VEGETARIANA GRANO CARNE EMBUTIDOS ITALIANA - 4 CT;14;20
50;CALABAZA MEZCLA PARA MUFFINS;105;13
51;SA FIJACIÓN EXTRA CREMA PARA PEINADO DEL CABELLO;22;11
52;MIRABELLE BRUT ROSE;134;5
53;JUGO DE ALOE PURO TODA HOJA CON LIMÓN;98;7
54;LA BASURA 24/7 GATO RENDIMIENTO;41;8
55;DURACIÓN COLOR CHAMPÚ;22;11
56;POP SALUDABLE MANTEQUILLA DE PALOMITAS;23;19
57;PALILLOS PLANA;111;17
58;EL TRIGO INTEGRAL TORTILLAS;128;3
59;MEDIO ESTILO CHIPOTLE TAQUERIA SALSA;50;19
60;SALSA DE QUESO PARMESANO CREACIONES AJO ASADO;9;9
61;SABOR FIDEOS RAMEN SOPA DE SETA DEL POLLO;69;15
62;MAMA PRIMA DELI ASADA HORNO TURQUÍA;96;20
63;BANANA Y DULCE ORGÁNICA DE PATATA DENTICIÓN OBLEAS;92;18
64;VERDURAS DE OTOÑO Y CENA DE TURQUÍA CON LIL' BITS LOS PURÉS CENA;92;18
65;ORGÁNICA VINO TINTO Y ACEITE DE OLIVA ORGÁNICO VESTIR;89;13
66;MEZCLA DE ESTILO EUROPEO DE PRIMAVERA;123;4
67;JALEA, BLACKBERRY;88;13
68;PANCAKE MIX, MANTEQUILLA;130;14
69;DE VAINILLA CON LECHE DE ALMENDRAS CAFÉ HELADO;26;7
70;COCINAR ARROZ DULCE CONDIMENTO;66;6
71;ULTRA 7 PULGADAS PLACAS DE POLIPROPILENO TRADICIONALES;111;17
72;MANZANAS ORGÁNICA HONEYCRISP;100;21
73;TÉ DE JAZMÍN SIN FILTRAR GINGER ALE;77;7
74;ARTISAN CHICK'N Y APPLE SALCHICHA;14;20
75;LA PROTEÍNA DE CÁÑAMO, ORGÁNICA;65;11
76;ESPINACA ALBAHACA AJO LINGUINI;12;9
77;DE COCO CON TROZOS DE CHOCOLATE BARRA DE ENERGÍA;3;19
78;NUTTER GALLETA DE MANTEQUILLA BITES GO-PAK;61;19
79;SALVAJE ATÚN BLANCO SIN SAL AÑADIDA;95;15
80;FRANCÉS ESTRAGÓN VINAGRE DE VINO;19;13
81;BLAKES POLLO PARMESANO CENA;38;1
82;NATURAL 100% JUGO DE MANZANA;98;7
83;100% DE TRIGO ENTERO PAN DE PITA;128;3
84;ASTA DEL CORDERO;7;12
85;SOPPRESSATA PICCANTE;96;20
86;CAMILIA, INDIVIDUAL LIQUID DOSIS;6;2
87;CLÁSICOS TÉ EARL GREY;94;7
88;LOS PROBIÓTICOS DE ALTA POTENCIA CÁPSULAS;47;11
89;YOGUR DE FRUTA MANZANAS REBANADAS DIP;123;4
